order,page,route,title,component,source_file,source_bytes,source_exists,image_signals,media_signals,interaction_signals,narrative_signals,gift_signals,shared_template,design_tokens,source_fingerprint,thin_candidate,broken_candidate,note,memory,compliment,gift,message,surprise
"63","063","/cupid-archery","Aiming Abu’s Good Wishes Your Way","CupidArcheryPage","src/pages/CupidArcheryPage.jsx + src/components/CupidArchery.jsx + src/components/WorldShell.jsx + src/themes.js + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js","114004","true","9","30","75","631","150","CupidArchery","rounded-full bg-amber-100 text-amber-800 font-extrabold text-xs bg-indigo-100 text-indigo-700 bg-rose-100 text-rose-600 rounded-3xl bg-gradient-to-b from-indigo-950","a985b7a3d6","NO","NO","Aiming Abu’s Good Wishes Your Way uses CupidArcheryPage. Memory: the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home. Gift: a memory ribbon tied to your favourite name. Voice: Samjhana, my Bebo, Abu made the Cupid Archery room around the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home. The secret is sim.","the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home","You make Abu want to become gentler, steadier, and more worthy of your trust.","a memory ribbon tied to your favourite name","Samjhana, my Bebo, Abu made the Cupid Archery room around the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home. The secret is sim","The gift inside is not expensive; it is specific to you. You make Abu want to become gentler, steadier, and more worthy of your trust. This page is Ab"
"64","064","/love-alarm","The Wake-Up Note from Abu","LoveAlarmPage","src/pages/LoveAlarmPage.jsx + src/components/LoveAlarm.jsx + src/components/WorldShell.jsx + src/themes.js + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js","114044","true","9","30","75","640","159","LoveAlarm","rounded-3xl bg-gradient-to-b from-slate-900 via-slate-800 to-slate-900 border-4 border-pink-400 shadow-2xl text-white rounded-full bg-slate-700 border-pink-300","711c8341ec","NO","NO","The Wake-Up Note from Abu uses LoveAlarmPage. Memory: Bageshwori Temple and the prayers we carried home. Gift: a bouquet of words for your soft days. Voice: Samjhana, my Bebo, Abu made the Love Alarm room around Bageshwori Temple and the prayers we carried home. The gift inside is not expensive; it is spec.","Bageshwori Temple and the prayers we carried home","Your smile makes Abu forget what he was worried about.","a bouquet of words for your soft days","Samjhana, my Bebo, Abu made the Love Alarm room around Bageshwori Temple and the prayers we carried home. The gift inside is not expensive; it is spec","This is a reminder that you are loved in the details. Your smile makes Abu forget what he was worried about. This page is Abu’s a future postcard from"
"65","065","/couple-bucket-list-2","Our Next Places Together","CoupleBucketList2Page","src/pages/CoupleBucketList2Page.jsx + src/utils/mediaUtils.js + src/data/pageGiftData.js + src/data/pageNames.js","321549","true","12","32","6","5948","2305","page-specific source","bg-[ text-[ text-xs font-black text-6xl text-8xl text-lg rounded-[2rem] bg-white shadow-xl rounded-2xl text-left","faf9186282","NO","NO","Our Next Places Together uses CoupleBucketList2Page. Memory: late-night video calls between Nepalgunj and Sakai, Osaka. Gift: a private letter from Abu. Voice: Samjhana, my Bhuntu, Abu made the Couple Bucket List 2 room around late-night video calls between Nepalgunj and Sakai, Osaka. This is a reminder that .","late-night video calls between Nepalgunj and Sakai, Osaka","You make ordinary food, ordinary calls, and ordinary rooms feel like memories.","a private letter from Abu","Samjhana, my Bhuntu, Abu made the Couple Bucket List 2 room around late-night video calls between Nepalgunj and Sakai, Osaka. This is a reminder that ","Open this when you miss Abu. You make ordinary food, ordinary calls, and ordinary rooms feel like memories. This page is Abu’s a promise folded into a"
"66","066","/love-meter-deluxe","Abu’s Measureless Love Meter","LoveMeterDeluxePage","src/pages/LoveMeterDeluxePage.jsx + src/components/LoveMeterDeluxe.jsx + src/components/WorldShell.jsx + src/themes.js + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js","111868","true","9","30","69","633","148","LoveMeterDeluxe","to-sync text-5xl text-7xl font-extrabold text-transparent bg-clip-text bg-gradient-to-r from-rose-500 to-pink-600 font-mono text-xs text-gray-500","4b16aa5944","NO","NO","Abu’s Measureless Love Meter uses LoveMeterDeluxePage. Memory: dropping you at the Language Institute before Japan. Gift: a tiny memory ticket from Nepalgunj. Voice: Samjhana, my Runchi, Abu made the Love Meter Deluxe room around dropping you at the Language Institute before Japan. A small surprise: Abu remembers m.","dropping you at the Language Institute before Japan","Your moods, your laugh, your quiet, and your Bhoot moments all belong to the girl Abu loves.","a tiny memory ticket from Nepalgunj","Samjhana, my Runchi, Abu made the Love Meter Deluxe room around dropping you at the Language Institute before Japan. A small surprise: Abu remembers m","Keep this for the next time distance feels loud. Your moods, your laugh, your quiet, and your Bhoot moments all belong to the girl Abu loves. This pag"
"67","067","/love-envelope","An Envelope from Abu","LoveEnvelopePage","src/pages/LoveEnvelopePage.jsx + src/components/LoveEnvelope.jsx + src/components/WorldShell.jsx + src/themes.js + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/utils/whatsappHelper.js","120835","true","11","32","83","722","160","LoveEnvelope","from-amber-400 to-amber-600 from-rose-500 to-pink-600 from-purple-500 to-indigo-600 text-rose-500 font-ui bg-white/80 rounded-2xl border-pink-200 shadow-sm","e0043cb1a4","NO","NO","An Envelope from Abu uses LoveEnvelopePage. Memory: late-night video calls between Nepalgunj and Sakai, Osaka. Gift: a Bageshwori memory pressed between two pages. Voice: Samjhana, my Bebo, Abu made the Love Envelope room around late-night video calls between Nepalgunj and Sakai, Osaka. This is a reminder that you are l.","late-night video calls between Nepalgunj and Sakai, Osaka","You make ordinary food, ordinary calls, and ordinary rooms feel like memories.","a Bageshwori memory pressed between two pages","Samjhana, my Bebo, Abu made the Love Envelope room around late-night video calls between Nepalgunj and Sakai, Osaka. This is a reminder that you are l","Open this when you miss Abu. You make ordinary food, ordinary calls, and ordinary rooms feel like memories. This page is Abu’s a quiet “open when” not"
"68","068","/love-constellation-connect","Connect the Names Abu Loves","LoveConstellationConnectPage","src/pages/LoveConstellationConnectPage.jsx + src/components/LoveConstellationConnect.jsx + src/components/WorldShell.jsx + src/themes.js + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/utils/whatsappHelper.js","117767","true","11","32","67","648","158","LoveConstellationConnect","text-amber-400 font-ui rounded-full text-xs font-black bg-amber-400 text-slate-950 border-amber-400 shadow-md bg-slate-900/80 text-amber-200 border-amber-500/30","8875791157","NO","NO","Connect the Names Abu Loves uses LoveConstellationConnectPage. Memory: Water Park laughter and the day moving too quickly. Gift: a future postcard from the light-blue scooter road. Voice: Samjhana, my Sanu, Abu made the Love Constellation Connect room around Water Park laughter and the day moving too quickly. Read this slowly, Sanu. It .","Water Park laughter and the day moving too quickly","Your “huss” can make a long day feel close again.","a future postcard from the light-blue scooter road","Samjhana, my Sanu, Abu made the Love Constellation Connect room around Water Park laughter and the day moving too quickly. Read this slowly, Sanu. It ","This page is a soft place to land when your day is heavy. Your “huss” can make a long day feel close again. This page is Abu’s a Bageshwori memory pre"
"69","069","/love-journal-prompt","A Journal Prompt from Abu","LoveJournalPromptPage","src/pages/LoveJournalPromptPage.jsx + src/components/LoveJournalPrompt.jsx + src/components/WorldShell.jsx + src/themes.js + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/utils/whatsappHelper.js","114244","true","9","30","70","664","161","LoveJournalPrompt","rounded-full bg-green-100 text-green-700 font-extrabold text-xs bg-gray-200 bg-green-500 bg-amber-800 rounded-l-xl shadow-inner rounded-r-3xl rounded-l-lg","c4482c0a1f","NO","NO","A Journal Prompt from Abu uses LoveJournalPromptPage. Memory: the day “Abhay” became “Abu” because you made it yours. Gift: a quiet “open when” note for your pocket. Voice: Samjhana, my Samjhana, Abu made the Love Journal Prompt room around the day “Abhay” became “Abu” because you made it yours. This page is a soft place .","the day “Abhay” became “Abu” because you made it yours","You are the person behind every name Abu says with a softer voice.","a quiet “open when” note for your pocket","Samjhana, my Samjhana, Abu made the Love Journal Prompt room around the day “Abhay” became “Abu” because you made it yours. This page is a soft place ","A small surprise: Abu remembers more than he says. You are the person behind every name Abu says with a softer voice. This page is Abu’s a promise map"
"70","070","/love-chimes","Chimes for Your Quiet Days","LoveChimesPage","src/pages/LoveChimesPage.jsx + src/components/LoveChimes.jsx + src/components/WorldShell.jsx + src/themes.js + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js","111691","true","9","30","74","632","150","LoveChimes","from-cyan-400 to-cyan-600 from-blue-400 to-blue-600 from-indigo-400 to-indigo-600 from-purple-400 to-purple-600 from-pink-400 to-pink-600 rounded-3xl bg-gradient-to-b","38b823c1c0","NO","NO","Chimes for Your Quiet Days uses LoveChimesPage. Memory: late-night video calls between Nepalgunj and Sakai, Osaka. Gift: a Bageshwori memory pressed between two pages. Voice: Samjhana, my Runchi, Abu made the Love Chimes room around late-night video calls between Nepalgunj and Sakai, Osaka. This is a reminder that you are l.","late-night video calls between Nepalgunj and Sakai, Osaka","You make ordinary food, ordinary calls, and ordinary rooms feel like memories.","a Bageshwori memory pressed between two pages","Samjhana, my Runchi, Abu made the Love Chimes room around late-night video calls between Nepalgunj and Sakai, Osaka. This is a reminder that you are l","Open this when you miss Abu. You make ordinary food, ordinary calls, and ordinary rooms feel like memories. This page is Abu’s a quiet “open when” not"
"71","071","/love-horoscope-daily","Today’s Note from the Stars","LoveHoroscopeDailyPage","src/pages/LoveHoroscopeDailyPage.jsx + src/components/LoveHoroscopeDaily.jsx","5016","true","0","0","8","13","2","LoveHoroscopeDaily","design tokens not detected","9cbd220d9b","NO","NO","Today’s Note from the Stars uses LoveHoroscopeDailyPage. Memory: the dream of Pokhara, Manang, and Mustang waiting for us. Gift: a quiet “open when” note for your pocket. Voice: Samjhana, my Fuchee, Abu made the Love Horoscope Daily room around the dream of Pokhara, Manang, and Mustang waiting for us. This page is a soft place.","the dream of Pokhara, Manang, and Mustang waiting for us","You are beautiful in the moments you never think to pose for.","a quiet “open when” note for your pocket","Samjhana, my Fuchee, Abu made the Love Horoscope Daily room around the dream of Pokhara, Manang, and Mustang waiting for us. This page is a soft place","A small surprise: Abu remembers more than he says. You are beautiful in the moments you never think to pose for. This page is Abu’s a promise map for "
"72","072","/love-recipe","The Recipe for a Good Day Together","LoveRecipePage","src/pages/LoveRecipePage.jsx + src/components/LoveRecipe.jsx","4309","true","0","0","8","10","2","LoveRecipe","design tokens not detected","09f26c106d","NO","NO","The Recipe for a Good Day Together uses LoveRecipePage. Memory: the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home. Gift: a Bageshwori memory pressed between two pages. Voice: Samjhana, my Samjhana, Abu made the Love Recipe room around the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home. This is a remin.","the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home","You make Abu want to become gentler, steadier, and more worthy of your trust.","a Bageshwori memory pressed between two pages","Samjhana, my Samjhana, Abu made the Love Recipe room around the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home. This is a remin","Open this when you miss Abu. You make Abu want to become gentler, steadier, and more worthy of your trust. This page is Abu’s a quiet “open when” note"
